"LANGUAGE","Nederlands"
"TFC_BLD_EXP_TIP","Sta toe dat dit gebouw exporteert naar externe verbindingen. Dit wordt niet beïnvloed door districts- of bouwbeperkingen."
"TFC_BLD_NOD","Geen lokaal district"
"TFC_FIR_SER","Brandbestrijding"
"TFC_DIS_TRU","Reddingsvoertuigen"
"TFC_DIS_HEL","Reddingshelikopters"
"TFC_POL_PMO","Gevangenen naar de gevangenis"
"TFC_POL_PMI","Gevangenen in"
"TFC_POL_PHO","Gevangenishelikopter"
"TFC_POL_PHI","Gevangenentransport"
"TFC_POL_PTO","Gevangenentransport"
"TFC_MAI_IML","Postophaling"
"TFC_MAI_OUN","Ongesorteerde post uit"
"TFC_MAI_IST","Gesorteerde post in"
"TFC_MAI_IUN","Ongesorteerde post in"
"TFC_MAI_OST","Gesorteerde post uit"
"TFC_MAI_OGM","Uitgaande post"
"TFC_MAI_ICM","Inkomende post"
"TFC_GAR_ICO","Afvalinzameling"
"TFC_GAR_ITF","Afval in"
"TFC_GAR_OTF","Afval uit"
"TFC_GAR_ORR","Herwonnen grondstoffen voor verkoop"
"TFC_FIS_MKO","Visleveringen"
"TFC_FIS_MKI","Vis in"
"TFC_FIS_CFO","Goederen uit"
"TFC_PWR_INC","Brandstof kopen"
"TFC_OIL_INC","Olie voorraad"
"TFC_SHT_INC","Goederen kopen"
"TFC_WAR_RVU","Reserveer voertuigen voor unieke fabrieken"
"TFC_WAR_RVU_TIP","Deze selectie zal een deel van de bestelwagens van dit gebouw reserveren om alleen unieke fabrieken te bedienen"
"TFC_WAR_RVO","Reserveer voertuigen voor externe verbindingen"
"TFC_WAR_RVO_TIP","Deze selectie zal een deel van de bestelwagens van dit gebouw reserveren om alleen externe verbindingen te bedienen (import en export)"
"TFC_WAR_RVI","Reserveer voertuigen voor leveringen binnen de stad"
"TFC_WAR_RVI_TIP","Deze selectie zal een deel van de bestelwagens van dit gebouw reserveren om alleen leveringen binnen de stad te bedienen (Deze zijn dan niet beschikbaar voor import of export)"
"TFC_WAR_RVC","Gereserveerde voertuigen"
"TFC_WAR_RVC_TIP","Stel het aantal gereserveerde voertuigen in"
"TFC_OPT_NEW","Gebruik nieuw op afstand gebaseerd algoritme"
"TFC_OPT_NEW_TIP","Als deze optie is geselecteerd, zal de mod een aangepast algoritme gebruiken om goederentransporten beter op elkaar af te stemmen op basis van de kortste afstand."
"TFC_OPT_DIS","Vermenigvuldigingsfactor afstand"
"TFC_OPT_DIS_TIP","Gebruik dit om de agressiviteit van het algoritme aan te passen bij het zoeken naar een fysiek goede overeenkomst. 100% (standaard) is hetzelfde als in het ongewijzigde spel; lagere waarden betekenen dat het spel meer tijd en moeite spendeert om het pad met de kortste afstand te vinden. Dit gaat ten koste van de systeemprestaties."
"TFC_OPT_WAR","Verhoging magazijn prioriteit"
"TFC_OPT_WAR_TIP","Gebruik dit om het algoritme zo aan te passen dat het een hogere prioriteit geeft aan overbrengingen van en naar pakhuizen (boven andere beschikbare opties voor hetzelfde type vracht). 0 (geen magazijn prioriteit) is de standaard instelling, voor hetzelfde gedrag als het ongewijzigde spel; 4 geeft een zeer hoge prioriteit aan transfers van en naar magazijnen."
"TFC_OPT_ORP","Verhoog prioriteit uitgaande spoorverbindingen"
"TFC_OPT_ORP_TIP","Gebruik dit om het algoritme te stimuleren een hogere prioriteit te geven aan transfers van en naar externe spoorverbindingen (boven andere beschikbare opties van hetzelfde type lading). 0 (geen prioriteit) is de standaardinstelling voor hetzelfde gedrag als het ongewijzigde spel; 4 geeft een zeer hoge prioriteit aan transfers via externe spoorverbindingen."
"TFC_OPT_OSP","Verhoog prioriteit uitgaande scheepvaartverbindingen"
"TFC_OPT_OSP_TIP","Gebruik dit om het algoritme te stimuleren een hogere prioriteit te geven aan transfers van en naar externe scheepvaart verbindingen (boven andere beschikbare opties van hetzelfde type lading). 0 (geen prioriteit) is de standaardinstelling voor hetzelfde gedrag als het ongewijzigde spel; 4 geeft een zeer hoge prioriteit aan transfers via externe scheepvaart verbindingen."
"TFC_OPT_PAT","Blokkeer aanbiedingen wanneer er padvindersfouten waren"
"TFC_OPT_PAT_TIP","Voorkomt toewijzing van aanbiedingen indien er in de laatste vijf minuten een fout is opgetreden tussen de twee gebouwen"
"TFC_OFF_TIT","Open aanbod"
"TFC_OFF_LOG","Vervoerslog"
"TFC_LOG_IN","Inkomend"
"TFC_LOG_OU","Uitgaand"
"TFC_LOG_TIM","Tijd"
"TFC_LOG_MAT","Reden"
"TFC_LOG_PRI","Prioriteit"
"TFC_LOG_TAR","Doel"
"TFC_LOG_BLK","Geblokkeerd"
"TFC_LOG_BLK_TIP","Toon toewijzingen die geblokkeerd zijn door beperkingen"
"TFC_LOG_PFL","Mislukte route"
"TFC_LOG_PFL_TIP","Toon toewijzingen die zijn geblokkeerd vanwege een recente routefout"
"TFC_LOG_PFM_TIP","Deze toewijzing werd geblokkeerd omdat er een recente fout was met het zoeken naar een pad"
"TFC_LOG_NOV","Geen voertuig"
"TFC_LOG_NOV_TIP","Toon toewijzingen die zijn geblokkeerd doordat er geen voertuigen beschikbaar waren vanwege reserveringen"
"TFC_LOG_NOM_TIP","Deze toewijzing werd geblokkeerd omdat er door voertuigreserveringen geen voertuig beschikbaar was"
"TFC_LOG_ELI","Geschikt"
"TFC_LOG_ELI_TIP","Toon toewijzingen die geschikt waren (maar mogelijk niet voor overdracht geselecteerd werden omdat een optie dichter bij beschikbaar was)"
"TFC_LOG_ELM_TIP","Deze toewijzing werd geacht in aanmerking te komen (maar is misschien niet voor indiening geselecteerd omdat een dichterbij gelegen optie beschikbaar was)"
"TFC_LOG_SEL","Geselecteerd"
"TFC_LOG_SEL_TIP","Toon toewijzingen die zijn geselecteerd voor overdracht (voordat routeberekening plaats vind)"
"TFC_LOG_SEM_TIP","Deze toewijzing werd geselecteerd voor de transfer (voordat het zoeken naar een pad plaatsvond)"
"TFC_LOG_INC","Inkomende"
"TFC_LOG_INC_TIP","Toon inkomende toewijzingen"
"TFC_LOG_OUT","Uitgaande"
"TFC_LOG_OUT_TIP","Toon uitgaande toewijzingen"
"TFC_LOG_BLI","Geblokkeerd (inkomend)"
"TFC_LOG_BLI_TIP","Deze toewijzing werd geblokkeerd door beperkingen voor het inkomende gebouw"
"TFC_LOG_BLO","Geblokkeerd (uitgaand)"
"TFC_LOG_BLO_TIP","Deze toewijzing werd geblokkeerd door beperkingen voor het uitgaande gebouw"
"TFC_LOG_BXI","Import geblokkeerd"
"TFC_LOG_BXI_TIP","Deze toewijzing werd geblokkeerd door invoerbeperkingen"
"TFC_LOG_BXO","Export geblokkeerd"
"TFC_LOG_BXO_TIP","Deze toewijzing werd geblokkeerd door uitvoerbeperkingen"
"TFC_LOG_STA","Resultaat"
"TFC_PFF_TIT","Laatste mislukkingen bij het zoeken naar een pad"
"TFC_STA_TIT","Gebouw status"
"TFC_STA_TIG","Inkomende voertuigen"
"TFC_STA_TIO","Uitgaande voertuigen"
"TFC_STA_RET","Terugkerend"
"TFC_STA_VEH","Voertuig"
"TFC_STA_ORG","Bron"
"TFC_STA_MAT","Vracht"
"TFC_STA_AMT","Lading"
"TFC_STA_ZTB","Zoom in naar gebouw"
"TFC_STA_ZTV","Zoom in naar voertuig"
"TFC_BST_TIT","Gebouweigenschappen"
"TFC_BST_MAI","Post"
"TFC_BST_GAR","Afval"
"TFC_BST_CRI","Criminaliteit"
"TFC_BST_FIR","Brand"
"TFC_BST_SIC","Ziek"
"TFC_BST_DEA","Dood"
"TRN_CHOICE","Taal instellen"
"LANGUAGE_GAME","Gebruik speltaal"
"KEY_KEY","Sneltoets"
"PRESS_ANY_KEY","Druk op een toets"
"UNABLE_TO_OPERATE","Dit betekent dat de mod niet werkt"
"HARMONY_ERROR","Transfer Controller kon de vereiste Harmony patches niet voltooien."
"NOTE_CLOSE","Sluit"
"ERR_HAR0","Harmony patchfout"
"HARMONY_PROBLEM_CAUSES","Mogelijke oorzaken van dit probleem zijn:"
"HARMONY_NOT_INSTALLED","De benodigde Harmony 2 mod afhankelijkheid is niet geïnstalleerd"
"HARMONY_MOD_ERROR","Een oude en/of beschadigde mod voorkomt dat Harmony 2 naar behoren kan functioneren"
"CONFLICT_DETECTED","Conflict met mod gedetecteerd!"
"CONFLICTING_MODS","De mods waarmee conflicten zijn:"
"TFC_ERR_CON0","Transfer Controller heeft een conflict met minstens één andere mod gedetecteerd."
"TFC_ERR_CON1","Deze mods moeten worden verwijderd voor Transfer Controller kan functioneren."
"HARMONY_MOD_CONFLICT","Another mod may be trying to apply a conflicting Harmony patch"
