"LANGUAGE","正體中文"
"TFC_OPT_ORP_TIP","Use this to encourage the algorithm to give higher priority to transfers to and from outside rail connections (over other available options for the same type of cargo).  0 (no priority) is the default, for the same behavior as the unmodded game; 4 gives a very high priority for outside connection rail transfers."
"TFC_OPT_OSP","Outside shipping connection priority boost"
"TFC_OPT_OSP_TIP","Use this to encourage the algorithm to give higher priority to transfers to and from outside shipping connections (over other available options for the same type of cargo).  0 (no priority) is the default, for the same behavior as the unmodded game; 4 gives a very high priority for outside connection shipping transfers."
"TFC_OPT_PAT","Block offers with recent pathfind failures"
"TFC_OPT_PAT_TIP","Prevents offers from being matched if there's been a vehicle pathfinding failure between the two buildings in the past five minutes"
"TFC_OFF_TIT","開放優惠"
"TFC_OFF_LOG","運輸日志"
"TFC_LOG_BLD","僅此建築"
"TFC_LOG_ALW","被允許"
"TFC_LOG_BLK","被禁止"
"TFC_LOG_INC","進貨"
"TFC_LOG_OUT","出貨"
"TRN_CHOICE","語言設置"
"TRN_SYS","使用遊戲預設語言"
"KEY_KEY","Hotkey"
"KEY_PRS","Press any key"
"TFC_ERR_FAT","這意味著此模組(Mod)無法運轉，並且已自動禁用。"," and has shut down."
"TFC_ERR_HAR","“運輸分配控制器 (Transfer Controller)” 無法獲得所需的 “Harmony” 支援庫。"
"MES_CLS","關閉"
"ERR_HAR0","“Harmony” 支援庫錯誤。"
"ERR_HAR1","導致此問題有可能包括的原因："
"ERR_HAR2","“Harmony 2” 支援庫模組(Mod)沒有訂閱。"
"ERR_HAR3","一些老的或壞的模組(Mod)導致 “Harmony 2” 支援庫模組(Mod)無法正常運轉。"
"ERR_CON0","檢測到模組(Mod)衝突！"
"ERR_CON1","有衝突的模組(Mod)："
"TFC_ERR_CON0","“運輸分配控制器 (Transfer Controller)” 模組(Mod)檢測到與至少一個其他模組(Mod)發生衝突。"
"TFC_ERR_CON1","這些模組(Mod)必須退訂才能讓 “運輸分配控制器 (Transfer Controller)” 模組(Mod)正常運轉。"
