"LANGUAGE","Русский"
"TFC_OPT_NEW","Использовать новый алгоритм основанный на расстояние доставки"
"TFC_OPT_NEW_TIP","Если эта опция включена, мод будет использовать другой алгоритм для лучшей доставки основанный на расстояние."
"TFC_OPT_DIS","Множитель расстояния"
"TFC_OPT_DIS_TIP","Use this to adjust the matching algorithm's aggressiveness in trying to find a physically close match.  100% (default) is the same as the unmodded game; lower values will mean the game spends more time and effort trying to find the match with the shortest distance, at the expense of some performance."
"TFC_OPT_WAR","Увеличение приоритета складов"
"TFC_OPT_WAR_TIP","Use this to encourage the algorithm to give higher priority to transfers to and from warehouses (over other available options for the same type of cargo).  0 (no warehouse priority) is the default, for the same behavior as the unmodded game; 4 gives a very high priority for warehouse transfers."
"TFC_OPT_ORP","Увеличение приоритета внешних ЖД связей"
"TFC_OPT_ORP_TIP","Use this to encourage the algorithm to give higher priority to transfers to and from outside rail connections (over other available options for the same type of cargo).  0 (no priority) is the default, for the same behavior as the unmodded game; 4 gives a very high priority for outside connection rail transfers."
"TFC_OPT_OSP","Увеличение приоритета внешних судоходных связей"
"TFC_OPT_OSP_TIP","Use this to encourage the algorithm to give higher priority to transfers to and from outside shipping connections (over other available options for the same type of cargo).  0 (no priority) is the default, for the same behavior as the unmodded game; 4 gives a very high priority for outside connection shipping transfers."
"TFC_OPT_PAT","Заблокировать отправления которые недавно не смогли найти путь"
"TFC_OPT_PAT_TIP","Предотвращать заказы между двумя зданиями если были ошибка поиска пути между ними в последние 5 минут"
"TFC_OFF_TIT","Доступные предложения"
"TFC_OFF_LOG","История перевозок"
"TFC_LOG_IN","Входящие"
"TFC_LOG_OU","Исходящие"
"TFC_LOG_TIM","Time"
"TFC_LOG_MAT","Причина"
"TFC_LOG_PRI","Приоритет"
"TFC_LOG_TAR","Цель"
"TFC_LOG_BLK","Запрещено"
"TFC_LOG_BLK_TIP","Показать доставки, которые были заблокированы ограничениями"
"TFC_LOG_PFL","Неудачные поиск пути"
"TFC_LOG_PFL_TIP","Показать доставки, которые были заблокированы из-за недавнего неудачного поиска пути"
"TFC_LOG_PFM_TIP","Это доставка было заблокировано из-за недавнего неудачного поиска пути"
"TFC_LOG_NOV","Нет транспорта"
"TFC_LOG_NOV_TIP","Показать доставки которые были заблокированы из-за зарезервированного транспорта"
"TFC_LOG_NOM_TIP","Эта доставка была заблокирована из-за зарезервированного транспорта"
"TFC_LOG_ELI","Eligible"
"TFC_LOG_ELI_TIP","Show matches that were considered eligible (but may not have been selected for transfer because a closer option was available)"
"TFC_LOG_ELM_TIP","This match was considered eligible (but may not have been selected for transfer because a closer option was available)"
"TFC_LOG_SEL","Selected"
"TFC_LOG_SEL_TIP","Показать доставки которые были выбраны для исполнения"
"TFC_LOG_SEM_TIP","эта доставка была выбрана для исполнения"
"TFC_LOG_INC","Входящий"
"TFC_LOG_INC_TIP","Показать исходящие доставки"
"TFC_LOG_OUT","Исходящий"
"TFC_LOG_OUT_TIP","Показать исходящие доставки"
"TFC_LOG_BLI","Заблокированные (входящие)"
"TFC_LOG_BLI_TIP","Эта доставка была заблокирована из-за ограничений здания-цели"
"TFC_LOG_BLO","Заблокированные (исходящие)"
"TFC_LOG_BLO_TIP","Эта доставка была заблокирована из-за ограничений здания-источника"
"TFC_LOG_BXI","Импорт заблокирован"
"TFC_LOG_BXI_TIP","Эта доставка была заблокирована из-за ограничений импорта"
"TFC_LOG_BXO","Экспорт заблокирован"
"TFC_LOG_BXO_TIP","Эта доставка была заблокирована из-за ограничений экспорта"
"TFC_LOG_STA","Result"
"TFC_PFF_TIT","Недавние ошибки поиска пути"
"TFC_STA_TIT","Статус здания"
"TFC_STA_TIG","Входящий транспорт"
"TFC_STA_TIO","Исходящий транспорт"
"TFC_STA_RET","Возвращение"
"TFC_STA_VEH","Транспорт"
"TFC_STA_ORG","Origin"
"TFC_STA_MAT","Грузы"
"TFC_STA_AMT","Загрузка"
"TFC_STA_ZTB","К зданию"
"TFC_STA_ZTV","К транспорту"
"TFC_BST_TIT","Свойств здания"
"TFC_BST_MAI","Почта"
"TFC_BST_GAR","Мусор"
"TFC_BST_CRI","Преступность"
"TFC_BST_FIR","Пожары"
"TFC_BST_SIC","Больные"
"TFC_BST_DEA","Умершие"
"TRN_CHOICE","Установить язык"
"LANGUAGE_GAME","Исп. системный язык"
"KEY_KEY","Горячая клавиша"
"PRESS_ANY_KEY","Нажмите любую клавишу"
"UNABLE_TO_OPERATE","Это означает, что мод не может работать и отключился"
"HARMONY_ERROR","Transfer Controller не смог завершить необходимые исправления Harmony."
"NOTE_CLOSE","Закрыть"
"ERR_HAR0","Ошибка пропатчивания Harmony"
"HARMONY_PROBLEM_CAUSES","Возможные причины этой проблемы:"
"HARMONY_NOT_INSTALLED","Требуемый мод, Harmony 2 – не установлен"
"HARMONY_MOD_ERROR","Старый и/или сломанный мод мешает правильной работе Harmony 2"
"CONFLICTING_MODS","Конфликтующие моды:"
"CONFLICT_DETECTED","Zoning Adjuster обнаружил конфликт как минимум с одним другим модом."
"TFC_ERR_CON1","Эти моды должны быть удалены, прежде чем Zoning Adjuster сможет работать."
"HARMONY_MOD_CONFLICT","Another mod may be trying to apply a conflicting Harmony patch"
