"LANGUAGE","Čeština"
"TFC_WAR_RVO_TIP","Selecting this will reserve a portion of this building's delivery vehicles to only service outside connections (importing and exporting)"
"TFC_WAR_RVI","Reserve vehicles for city delivery"
"TFC_WAR_RVI_TIP","Selecting this will reserve a portion of this building's delivery vehicles to only service delivery within this city (and not be available for importing or exporting)"
"TFC_WAR_RVC","Reserved vehicles"
"TFC_WAR_RVC_TIP","Set the number of reserved vehicles"
"TFC_OPT_NEW","Use new distance-based matching algorithm"
"TFC_OPT_NEW_TIP","If this is selected the mod will use a custom alogorithm to better match transfers based on closest distance."
"TFC_OPT_DIS","Distance multiplier"
"TFC_OPT_DIS_TIP","Use this to adjust the matching algorithm's aggressiveness in trying to find a physically close match.  100% (default) is the same as the unmodded game; lower values will mean the game spends more time and effort trying to find the match with the shortest distance, at the expense of some performance."
"TFC_OPT_WAR","Warehouse priority boost"
"TFC_OPT_WAR_TIP","Use this to encourage the algorithm to give higher priority to transfers to and from warehouses (over other available options for the same type of cargo).  0 (no warehouse priority) is the default, for the same behavior as the unmodded game; 4 gives a very high priority for warehouse transfers."
"TFC_OPT_ORP","Outside rail connection priority boost"
"TFC_OPT_ORP_TIP","Use this to encourage the algorithm to give higher priority to transfers to and from outside rail connections (over other available options for the same type of cargo).  0 (no priority) is the default, for the same behavior as the unmodded game; 4 gives a very high priority for outside connection rail transfers."
"TFC_OPT_OSP","Outside shipping connection priority boost"
"TFC_OPT_OSP_TIP","Use this to encourage the algorithm to give higher priority to transfers to and from outside shipping connections (over other available options for the same type of cargo).  0 (no priority) is the default, for the same behavior as the unmodded game; 4 gives a very high priority for outside connection shipping transfers."
"TFC_OPT_PAT","Block offers with recent pathfind failures"
"TFC_OPT_PAT_TIP","Prevents offers from being matched if there's been a vehicle pathfinding failure between the two buildings in the past five minutes"
"TFC_OFF_TIT","Open offers"
"TFC_OFF_LOG","Transfer log"
"TFC_LOG_IN","Vstup"
"TFC_LOG_OU","Výstup"
"TFC_LOG_TIM","Čas"
"TFC_LOG_MAT","Důvod"
"TFC_LOG_PRI","Priorita"
"TFC_LOG_TAR","Cíl"
"TFC_LOG_BLK","Blokováno"
"TFC_LOG_BLK_TIP","Show matches that were blocked by restrictions"
"TFC_LOG_PFL","Path fail"
"TFC_LOG_PFL_TIP","Show matches that were blocked due to a recent pathfinding failure"
"TFC_LOG_PFM_TIP","This match was blocked due to a recent pathfinding failure"
"TFC_LOG_NOV","Žádné vozidlo"
"TFC_LOG_NOV_TIP","Show matches that were blocked because vehicle reservations meant that no vehicle was available"
"TFC_LOG_NOM_TIP","This match was blocked because vehicle reservations meant that no vehicle was available"
"TFC_LOG_ELI","Eligible"
"TFC_LOG_ELI_TIP","Show matches that were considered eligible (but may not have been selected for transfer because a closer option was available)"
"TFC_LOG_ELM_TIP","This match was considered eligible (but may not have been selected for transfer because a closer option was available)"
"TFC_LOG_SEL","Vybráno"
"TFC_LOG_SEL_TIP","Show matches that were selected for transfer (before pathfinding occurs)"
"TFC_LOG_SEM_TIP","This match was selected for transfer (before pathfinding occurs)"
"TFC_LOG_INC","Incoming"
"TFC_LOG_INC_TIP","Show incoming matches"
"TFC_LOG_OUT","Outgoing"
"TFC_LOG_OUT_TIP","Show outoging matches"
"TFC_LOG_BLI","Blocked (in)"
"TFC_LOG_BLI_TIP","This match was blocked by restrictions set on the incoming building"
"TFC_LOG_BLO","Blocked (out)"
"TFC_LOG_BLO_TIP","This match was blocked by restrictions set on the outgoing building"
"TFC_LOG_BXI","Import blocked"
"TFC_LOG_BXI_TIP","This match was blocked by import restrictions"
"TFC_LOG_BXO","Export blocked"
"TFC_LOG_BXO_TIP","This match was blocked by export restrictions"
"TFC_LOG_STA","Výsledek"
"TFC_PFF_TIT","Recent pathfinding failures"
"TFC_STA_TIT","Stav budovy"
"TFC_STA_TIG","Incoming vehicles"
"TFC_STA_TIO","Outgoing vehicles"
"TFC_STA_RET","Returning"
"TFC_STA_VEH","Vozidlo"
"TFC_STA_ORG","Origin"
"TFC_STA_MAT","Nákladní"
"TFC_STA_AMT","Načíst"
"TFC_STA_ZTB","Přiblížit na budovu"
"TFC_STA_ZTV","Přiblížit na vozidlo"
"TFC_BST_TIT","Statistiky budovy"
"TFC_BST_MAI","Pošta"
"TFC_BST_GAR","Odpad"
"TFC_BST_CRI","Kriminalita"
"TFC_BST_FIR","Fire"
"TFC_BST_SIC","Sick"
"TFC_BST_DEA","Dead"
"TRN_CHOICE","Nastavit jazyk"
"LANGUAGE_GAME","Použít jazyk hry"
"KEY_KEY","Klávesová zkratka"
"PRESS_ANY_KEY","Stiskněte libovolnou klávesu"
"UNABLE_TO_OPERATE","Toto znamená, že mód není schopen fungovat a vypnul se."
"HARMONY_ERROR","Transfer Controller nedokázal dokončit požadované záplaty Harmony."
"NOTE_CLOSE","Zavřít"
"ERR_HAR0","Harmony - chyba záplatování"
"HARMONY_PROBLEM_CAUSES","Možné příčiny tohoto problému zahrnují:"
"HARMONY_NOT_INSTALLED","Vyžadován mód Harmony 2, který není nainstalován"
"HARMONY_MOD_ERROR","Starý a (nebo) rozbitý mód brání správnému fungování Harmony 2"
"CONFLICTING_MODS","Konfliktní módy jsou:"
"CONFLICT_DETECTED","Transfer Controller zjistil konflikt s alespoň jedním dalším modem."
"TFC_ERR_CON1","Tyto mody musí být odstraněny před tím, než bude možné pracovat s Transfer Controller."
"HARMONY_MOD_CONFLICT","Jiný mód se možná pokouší použít konfliktní Harmony záplatu"
