"LANGUAGE","Deutsch"
"TFC_OPT_ORP_TIP","Verwende dies, um den Algorithmus dahingehend anzupassen, dass dem Schienenverkehr von und nach außerhalb höhere Priorität eingeräumt wird (über andere verfügbare Optionen für dieselbe Art von Ladung). 0 (keine Priorität) ist die Standardeinstellung für das gleiche Verhalten wie das ungemoddete Spiel; 4 gibt eine sehr hohe Priorität für den Schienenverkehr von und nach außerhalb."
"TFC_OPT_OSP","Prioritätssteigerung für Schiffsverbindungen nach außerhalb"
"TFC_OPT_OSP_TIP","Verwende dies, um den Algorithmus dahingehend anzupassen, dass dem Schiffsverkehr von und nach außerhalb höhere Priorität eingeräumt wird (über andere verfügbare Optionen für dieselbe Art von Ladung). 0 (keine Priorität) ist die Standardeinstellung für das gleiche Verhalten wie das ungemoddete Spiel; 4 gibt eine sehr hohe Priorität für den Schiffsverkehr von und nach außerhalb."
"TFC_OPT_PAT","Blockiere Angebote wenn es einen Fehler bei der Pfadsuche gab"
"TFC_OPT_PAT_TIP","Verhindert die Zuweisung von Angeboten, wenn zwischen den beiden Gebäuden in den letzten fünf Minuten ein Fehler aufgetreten ist"
"TFC_OFF_TIT","Offene Angebote"
"TFC_OFF_LOG","Transferprotokoll"
"TFC_LOG_IN","Eingehend"
"TFC_LOG_OU","Ausgehend"
"TFC_LOG_TIM","Uhrzeit"
"TFC_LOG_MAT","Grund"
"TFC_LOG_PRI","Priorität"
"TFC_LOG_TAR","Ziel"
"TFC_LOG_BLK","Blockiert"
"TFC_LOG_BLK_TIP","Treffer anzeigen, die durch Beschränkungen blockiert wurden"
"TFC_LOG_PFL","Pfadsuche fehlgeschlagen"
"TFC_LOG_PFL_TIP","Treffer anzeigen, die aufgrund eines kürzlichen Pfadsuchefehlers blockiert wurden"
"TFC_LOG_PFM_TIP","Diese Möglichkeit wurde blockiert, da es kürzlich einen Fehler bei der Pfadsuche gab"
"TFC_LOG_NOV","Kein Fahrzeug"
"TFC_LOG_NOV_TIP","Treffer anzeigen, die blockiert wurden, weil Fahrzeugreservierungen bedeuteten, dass kein Fahrzeug verfügbar war"
"TFC_LOG_NOM_TIP","Diese Möglichkeit wurde blockiert, weil Fahrzeugreservierungen bewirkten, dass kein Fahrzeug verfügbar war"
"TFC_LOG_ELI","Zulässig"
"TFC_LOG_ELI_TIP","Treffer anzeigen, die als berechtigt galten (aber möglicherweise nicht für die Übertragung ausgewählt wurden, weil eine nähere Option verfügbar war)"
"TFC_LOG_ELM_TIP","Diese Möglichkeit galt als berechtigt (aber wurde möglicherweise nicht für die Übertragung ausgewählt, weil eine nähere Option verfügbar war)"
"TFC_LOG_SEL","Ausgewählt"
"TFC_LOG_SEL_TIP","Treffer anzeigen, die für die Übertragung ausgewählt wurden (bevor die Pfadsuche stattfindet)"
"TFC_LOG_SEM_TIP","Diese Möglichkeit wurde für die Übertragung ausgewählt (bevor die Pfadsuche stattfand)"
"TFC_LOG_INC","Eingehend"
"TFC_LOG_INC_TIP","Eingehende Treffer anzeigen"
"TFC_LOG_OUT","Ausgehend"
"TFC_LOG_OUT_TIP","Ausgehende Treffer anzeigen"
"TFC_LOG_BLI","Blockiert (eingehend)"
"TFC_LOG_BLI_TIP","Diese Möglichkeit wurde durch Einschränkungen für das eingehende Gebäude blockiert"
"TFC_LOG_BLO","Blockiert (ausgehend)"
"TFC_LOG_BLO_TIP","Diese Möglichkeit wurde durch Einschränkungen für das ausgehende Gebäude blockiert"
"TFC_LOG_BXI","Import blockiert"
"TFC_LOG_BXI_TIP","Diese Möglichkeit wurde durch Importbeschränkungen blockiert"
"TFC_LOG_BXO","Export blockiert"
"TFC_LOG_BXO_TIP","Diese Möglichkeit wurde durch Exportbeschränkungen blockiert"
"TFC_LOG_STA","Ergebnis"
"TFC_PFF_TIT","Letzte Fehlschläge bei der Pfadsuche"
"TFC_STA_TIT","Gebäudestatus"
"TFC_STA_TIG","Ausgehende Fahrzeuge"
"TFC_STA_TIO","Ausgehende Fahrzeuge"
"TFC_STA_RET","Rückkehrend"
"TFC_STA_VEH","Fahrzeug"
"TFC_STA_ORG","Ursprung"
"TFC_STA_MAT","Fracht"
"TFC_STA_AMT","Laden"
"TFC_STA_ZTB","Zum Gebäude zoomen"
"TFC_STA_ZTV","Zum Fahrzeug zoomen"
"TFC_BST_TIT","Gebäudestatistiken"
"TFC_BST_MAI","Post"
"TFC_BST_GAR","Müll"
"TFC_BST_CRI","Kriminalität"
"TFC_BST_FIR","Feuer"
"TFC_BST_SIC","Krankheit"
"TFC_BST_DEA","Tod"
"TRN_CHOICE","Sprache auswählen"
"LANGUAGE_GAME","Verwende die Spiel-Sprache"
"KEY_KEY","Tastenkürzel"
"PRESS_ANY_KEY","Drücke eine Taste"
"UNABLE_TO_OPERATE","Dies bedeutet, dass der Mod nicht funktioniert"
"HARMONY_ERROR","Transfer Controller konnte seine benötigten Harmony Patches nicht anwenden."
"NOTE_CLOSE","Schließen"
"ERR_HAR0","Harmony Patching-Fehler"
"HARMONY_PROBLEM_CAUSES","Mögliche Ursachen für dieses Problem sind:"
"HARMONY_NOT_INSTALLED","Die benötigte Mod Harmony 2 ist nicht installiert"
"HARMONY_MOD_ERROR","Ein alter und/oder defekter Mod verhindert, dass Harmony 2 ordnungsgemäß funktioniert"
"CONFLICTING_MODS","Die problematischen Mods sind:"
"CONFLICT_DETECTED","Transfer Controller hat einen Konflikt mit mindestens einer weiteren Mod festgestellt."
"TFC_ERR_CON1","Diese Mods müssen entfernt werden, bevor Transfer Controller funktionieren kann."
"HARMONY_MOD_CONFLICT","Another mod may be trying to apply a conflicting Harmony patch"
