"LANGUAGE","Português Brasileiro"
"TFC_OFF_LOG","Registro de transferência"
"TFC_LOG_IN","Entrada"
"TFC_LOG_OU","Saída"
"TFC_LOG_TIM","Hora"
"TFC_LOG_MAT","Motivo"
"TFC_LOG_PRI","Prioridade"
"TFC_LOG_TAR","Destino"
"TFC_LOG_BLK","Bloqueado"
"TFC_LOG_BLK_TIP","Mostrar partidas que foram bloqueadas por restrições"
"TFC_LOG_PFL","Falha no caminho"
"TFC_LOG_PFL_TIP","Mostrar partidas que foram bloqueadas devido a uma falha na localização de caminho recente"
"TFC_LOG_PFM_TIP","Esta partida foi bloqueada devido a um erro de falha na localização de caminho recente"
"TFC_LOG_NOV","Sem veículo"
"TFC_LOG_NOV_TIP","Mostrar partidas que foram bloqueadas porque a reserva de veículos significava que nenhum veículo estava disponível"
"TFC_LOG_NOM_TIP","Esta partida foi bloqueada porque as reservas de veículos significavam que nenhum veículo estava disponível"
"TFC_LOG_ELI","Elegível"
"TFC_LOG_ELI_TIP","Mostrar correspondências que foram consideradas elegíveis (mas podem não ter sido selecionadas para transferência porque uma opção mais próxima estava disponível)"
"TFC_LOG_ELM_TIP","Esta partida foi considerada elegível (mas pode não ter sido selecionada para transferência porque uma opção mais próxima estava disponível)"
"TFC_LOG_SEL","Selecionado"
"TFC_LOG_SEL_TIP","Mostrar as partidas selecionadas para transferência (antes que a localização do caminho ocorra)"
"TFC_LOG_SEM_TIP","Esta correspondência foi selecionada para transferência (antes de ocorrer a localização do caminho)"
"TFC_LOG_INC","Entrada"
"TFC_LOG_INC_TIP","Mostrar partidas recebidas"
"TFC_LOG_OUT","Enviado"
"TFC_LOG_OUT_TIP","Mostrar partidas pendentes"
"TFC_LOG_BLI","Bloqueado (dentro)"
"TFC_LOG_BLI_TIP","Esta partida foi bloqueada por restrições definidas no prédio de entrada"
"TFC_LOG_BLO","Bloqueado (fora)"
"TFC_LOG_BLO_TIP","Esta partida foi bloqueada por restrições definidas no prédio de saída"
"TFC_LOG_BXI","Importação bloqueada"
"TFC_LOG_BXI_TIP","Esta partida foi bloqueada por restrições de importação"
"TFC_LOG_BXO","Exportação bloqueada"
"TFC_LOG_BXO_TIP","Esta partida foi bloqueada por restrições de exportação"
"TFC_LOG_STA","Resultado"
"TFC_PFF_TIT","Falhas recentes na localização do caminho"
"TFC_STA_TIT","Estado da construção"
"TFC_STA_TIG","Veículos de entrada"
"TFC_STA_TIO","Veículos de saída"
"TFC_STA_RET","Retornando"
"TFC_STA_VEH","Veículo"
"TFC_STA_ORG","Origem"
"TFC_STA_MAT","Carga"
"TFC_STA_AMT","Carregar"
"TFC_STA_ZTB","Zoom para construção"
"TFC_STA_ZTV","Zoom para o veículo"
"TFC_BST_TIT","Estatísticas de construção"
"TFC_BST_MAI","Correio"
"TFC_BST_GAR","Lixo"
"TFC_BST_CRI","Crime"
"TFC_BST_FIR","Fogo"
"TFC_BST_SIC","Doença"
"TFC_BST_DEA","Morto"
"TRN_CHOICE","Definir idioma"
"LANGUAGE_GAME","Usar idioma do jogo"
"KEY_KEY","Tecla de Atalho"
"PRESS_ANY_KEY","Pressione qualquer tecla"
"UNABLE_TO_OPERATE","Isso significa que o mod não está apto a funcionar e foi desativado."
"HARMONY_ERROR","O controlador de transferência não pode completar os patches necessários do Harmony."
"NOTE_CLOSE","Fechar"
"ERR_HAR0","Erro de patch do Harmony"
"HARMONY_PROBLEM_CAUSES","As possíveis causas deste problema incluem:"
"HARMONY_NOT_INSTALLED","O mod Harmony 2 não está instalado"
"HARMONY_MOD_ERROR","Um mod desatualizado e/ou quebrado está impedindo que o Harmony 2 funcione corretamente"
"CONFLICTING_MODS","Os mods em conflito são:"
"CONFLICT_DETECTED","O controlador de transferência detectou um conflito com pelo menos um outro mod."
"TFC_ERR_CON1","Esses mods devem ser removidos antes que o Controlador de transferência possa operar."
"HARMONY_MOD_CONFLICT","Outro mod pode estar tentando aplicar um patch Harmony conflitante"
